timestamp,kwh
2023-01-01 00:00:00,10.5
2023-01-01 01:00:00,10.2
2023-01-01 02:00:00,10.0
2023-01-01 03:00:00,9.8
2023-01-01 04:00:00,9.9
2023-01-01 05:00:00,10.5
2023-01-01 06:00:00,12.5
2023-01-01 07:00:00,18.2
2023-01-01 08:00:00,25.5
2023-01-01 09:00:00,30.1
2023-01-01 10:00:00,32.5
2023-01-01 11:00:00,33.8
2023-01-01 12:00:00,34.2
2023-01-01 13:00:00,33.5
2023-01-01 14:00:00,32.1
2023-01-01 15:00:00,30.5
2023-01-01 16:00:00,28.2
2023-01-01 17:00:00,26.5
2023-01-01 18:00:00,24.1
2023-01-01 19:00:00,20.5
2023-01-01 20:00:00,18.2
2023-01-01 21:00:00,15.5
2023-01-01 22:00:00,13.2
2023-01-01 23:00:00,11.5
